point_index,timestamp_utc,status,setpoints_json,measurements_json,trace_name,trace_points,trace_peak_dbm
26,2026-09-03T07:58:47.753478+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 7952525.25252, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.956566
27,2026-09-03T07:58:47.953475+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 8254545.45454, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.988412
28,2026-09-03T07:58:48.195532+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 8556565.65657, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.978402
29,2026-09-03T07:58:48.309008+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 8858585.85859, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.037375
30,2026-09-03T07:58:48.476926+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 9160606.06061, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.079064
31,2026-09-03T07:58:48.637533+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 9462626.26263, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.035003
32,2026-09-03T07:58:48.830818+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 9764646.46465, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.049641
33,2026-09-03T07:58:49.033052+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 10066666.6667, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.074128
34,2026-09-03T07:58:49.202220+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 10368686.8687, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.10672699999999
35,2026-09-03T07:58:49.310362+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 10670707.0707, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.151945999999995
36,2026-09-03T07:58:49.468947+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 10972727.2727, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.129823
37,2026-09-03T07:58:49.574402+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 11274747.4747, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.190861
38,2026-09-03T07:58:49.743737+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 11576767.6768, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.162559
39,2026-09-03T07:58:49.922065+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 11878787.8788, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.135303
40,2026-09-03T07:58:50.039242+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 12180808.0808, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.160670999999994
41,2026-09-03T07:58:50.258640+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 12482828.2828, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.124947000000006
42,2026-09-03T07:58:50.410395+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 12784848.4848, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.061679
43,2026-09-03T07:58:50.520165+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 13086868.6869, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.093446
44,2026-09-03T07:58:50.688405+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 13388888.8889, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.00807499999999
45,2026-09-03T07:58:50.808739+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 13690909.0909, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.99737399999999
